latitude;longitude;species
38.952351;-8.543297;2493660
38.952351;-8.543297;2493012
38.952351;-8.543297;7660710
38.952351;-8.543297;7626513
38.952351;-8.543297;7634625
38.952351;-8.543297;5228676
38.952351;-8.543297;2487883
38.952351;-8.543297;2490719
38.952351;-8.543297;5739315
38.952351;-8.543297;5231918
38.952351;-8.543297;8095051
38.952351;-8.543297;2497266
38.952351;-8.543297;2493214
38.952351;-8.543297;2492350
38.952351;-8.543297;7806848
38.952351;-8.543297;5231190
38.952351;-8.543297;2494200
38.952351;-8.543297;2492822
38.952351;-8.543297;2495000
38.952351;-8.543297;2477968
38.952351;-8.543297;2495708
38.952351;-8.543297;5231438
38.952351;-8.543297;5845582
38.952351;-8.543297;2493128
38.952351;-8.543297;5231198
38.952351;-8.543297;2492962
38.952351;-8.543297;4408759
38.952351;-8.543297;5229493
38.952351;-8.543297;2489104
38.952351;-8.543297;2484916
38.808948;-8.918066;5230791
38.808948;-8.918066;2489214
38.808948;-8.918066;2487879
38.808948;-8.918066;5231918
38.808948;-8.918066;2489160
38.808948;-8.918066;7634625
38.808948;-8.918066;2482501
38.808948;-8.918066;2492956
38.808948;-8.918066;2480537
38.808948;-8.918066;2480685
38.808948;-8.918066;5228676
38.808948;-8.918066;2490669
38.808948;-8.918066;2475532
38.808948;-8.918066;7660710
38.808948;-8.918066;2493012
38.808948;-8.918066;2493660
38.808948;-8.918066;2494708
38.808948;-8.918066;2494200
38.808948;-8.918066;2490719
38.808948;-8.918066;2495000
38.808948;-8.918066;2497266
38.808948;-8.918066;8095051
38.808948;-8.918066;2495708
38.808948;-8.918066;2480495
38.808948;-8.918066;2494686
38.808948;-8.918066;5228695
38.808948;-8.918066;2492350
